Series Name,id
Gross national expenditure (constant 2015 US$),1
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",1
"Insurance and financial services (% of service imports, BoP)",1
"Insurance and financial services (% of service exports, BoP)",1
Insurance and financial services (% of commercial service imports),1
Insurance and financial services (% of commercial service exports),1
"Industry (including construction), value added per worker (constant 2015 US$)",1
"Industry (including construction), value added (current US$)",1
"Industry (including construction), value added (constant 2015 US$)",1
Individuals using the Internet (% of population),1
"Incidence of HIV, all (per 1,000 uninfected population)",1
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",1
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1
"Imports of goods, services and primary income (BoP, current US$)",1
Imports of goods and services (current US$),1
Imports of goods and services (constant 2015 US$),1
"Imports of goods and services (BoP, current US$)",1
"Literacy rate, adult female (% of females ages 15 and above)",1
"Listed domestic companies, total",1
"Life expectancy at birth, total (years)",1
"Life expectancy at birth, male (years)",1
"Life expectancy at birth, female (years)",1
Land under cereal production (hectares),1
Land area (sq. km),1
"Labor force, total",1
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",1
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",1
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",1
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",1
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",1
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),1
Merchandise trade (% of GDP),1
Merchandise imports (current US$),1
Merchandise exports (current US$),1
Market capitalization of listed domestic companies (current US$),1
Manufactures imports (% of merchandise imports),1
Manufactures exports (% of merchandise exports),1
"Lower secondary completion rate, total (% of relevant age group)",1
