,Feature,Non_Zero_Coefficient
640,00573600048744,-0.0
641,00573700035856,0.0
642,00573900050176,-0.0
643,00580100000057,-0.0
644,00580200001489,-0.0
645,00580400004353,-0.0
646,00580500005785,-0.0
647,00580600007217,-0.0
648,00581000011513,-0.0
649,00581100010081,-0.0
650,00581300014377,-0.0
682,00603600048747,0.0
683,00603700035859,-0.0
684,00603800037291,-0.0
685,00603900050179,-0.0
686,00610404004356,0.0
687,00610504005788,-0.0
656,00582600027265,-0.0
657,00582800044449,-0.0
658,00583100031561,-0.0
660,00583300032993,-0.0
661,00583500047313,-0.0
662,00583700035857,-0.0
663,00583800037289,-0.0
664,00583900050177,-0.0
665,00590200001490,-0.0
666,00600200001491,-0.0
698,00612404024404,0.0
699,00612504025836,-0.0
700,00613004030132,0.0
701,00613304032996,-0.0
702,00613604048748,0.0
703,00613704035860,-0.0
672,00600900008651,0.0
673,00601800040155,-0.0
674,00601900045883,0.0
675,00602100021539,0.0
676,00602400024403,0.0
677,00602500025835,-0.0
678,00602700043019,-0.0
679,00602800044451,0.0
680,00603100031563,-0.0
681,00603500047315,0.0
714,00622100021541,-0.0
715,00622300022973,-0.0
716,00622800044453,0.0
717,00623400034429,-0.0
718,00623600048749,-0.0
719,00623700035861,-0.0
688,00610604007220,-0.0
689,00610704054476,0.0
690,00610804038724,0.0
691,00611104010084,0.0
692,00611704020108,-0.0
693,00611804040156,-0.0
16832,14200103001420,0.0
695,00612004041588,-0.0
696,00612104021540,0.0
697,00612304022972,0.0
730,00632100021542,0.0
731,00632300022974,-0.0
732,00632600027270,-0.0
733,00632800044454,0.0
734,00633100031566,-0.0
735,00633300032998,-0.0
704,00613904050180,-0.0
705,00620200001493,-0.0
706,00620600007221,-0.0
707,00620800038725,-0.0
708,00621000011517,-0.0
709,00621600018677,-0.0
710,00621700020109,-0.0
711,00621800040157,0.0
712,00621900045885,0.0
713,00622000041589,-0.0
746,00641400015815,-0.0
747,00641500017247,-0.0
748,00641600018679,-0.0
749,00641700020111,-0.0
750,00641800040159,-0.0
751,00642100021543,-0.0
720,00624000053045,-0.0
721,00630200001494,-0.0
722,00630600007222,-0.0
723,00630800038726,-0.0
724,00631400015814,-0.0
725,00631500017246,-0.0
726,00631600018678,-0.0
727,00631700020110,-0.0
728,00631800040158,-0.0
729,00631900045886,-0.0
762,00650800038728,-0.0
763,00651100010088,0.0
764,00651300014384,0.0
765,00651400015816,0.0
766,00651700020112,-0.0
767,00651900045888,0.0
736,00633400034430,-0.0
737,00633600048750,-0.0
738,00633700035862,-0.0
739,00633800037294,-0.0
740,00640400004359,-0.0
741,00640500005791,-0.0
742,00640600007223,-0.0
743,00640700054479,-0.0
744,00640800038727,-0.0
745,00641200012951,-0.0
778,00660405004361,0.0
779,00660505005793,0.0
780,00660705054481,0.0
781,00660805038729,0.0
782,00661005011521,-0.0
783,00661105010089,0.0
752,00642200051615,0.0
753,00642300022975,-0.0
754,00642400024407,-0.0
755,00643100031567,-0.0
756,00643300032999,-0.0
757,00643600048751,-0.0
758,00643700035863,-0.0
759,00650300002928,-0.0
760,00650400004360,0.0
761,00650700054480,-0.0
793,00662705043025,0.0
794,00663005030137,0.0
795,00663505047321,0.0
796,00663605048753,0.0
797,00663705035865,0.0
798,00670104000066,0.0
799,00670304002930,0.0
768,00652000041592,0.0
770,00652900028704,-0.0
771,00653000030136,0.0
772,00653100031568,0.0
773,00653300033000,-0.0
774,00653400034432,0.0
775,00653600048752,0.0
31,00041100010027,0.0
777,00660305002929,0.0
809,00672204051618,0.0
810,00672304022978,0.0
811,00672404024410,0.0
812,00672504025842,0.0
813,00672704043026,0.0
814,00673004030138,0.0
815,00673104031570,0.0
784,00661205012953,0.0
785,00661305014385,0.0
786,00661405015817,0.0
787,00661705020113,0.0
788,00661805040161,-0.0
789,00661905045889,0.0
790,00662005041593,0.0
791,00662205051617,0.0
792,00662405024409,0.0
825,00681505017251,0.0
826,00681605018683,0.0
827,00682005041595,0.0
828,00682105021547,-0.0
829,00682205051619,-0.0
830,00682305022979,-0.0
831,00682405024411,0.0
800,00670404004362,0.0
801,00670504005794,0.0
802,00670804038730,0.0
803,00671004011522,-0.0
804,00671104010090,0.0
30,00040900008595,0.0
806,00671304014386,0.0
807,00671504017250,0.0
808,00671804040162,-0.0
841,00691405015820,0.0
842,00691705020116,0.0
843,00691805040164,0.0
844,00692005041596,0.0
845,00692105021548,-0.0
846,00692205051620,-0.0
847,00693005030140,0.0
816,00673604048754,0.0
817,00673704035866,0.0
818,00680305002931,0.0
819,00680405004363,0.0
29,00040800038667,0.0
821,00681105010091,0.0
822,00681205012955,0.0
823,00681305014387,0.0
824,00681405015819,0.0
857,00701105010093,0.0
858,00701305014389,0.0
859,00701405015821,0.0
860,00701705020117,-0.0
861,00701805040165,0.0
862,00702005041597,0.0
863,00702205051621,-0.0
832,00682505025843,-0.0
833,00683005030139,-0.0
834,00683105031571,0.0
835,00683405034435,-0.0
836,00683505047323,-0.0
837,00690205001500,0.0
838,00690805038732,0.0
839,00691105010092,0.0
840,00691305014388,0.0
873,00720200001503,-0.0
874,00720300002935,0.0
875,00720700054487,-0.0
876,00720800038735,-0.0
877,00721000011527,0.0
878,00721100010095,0.0
879,00721300014391,-0.0
848,00693105031572,0.0
849,00693605048756,-0.0
850,00693705035868,0.0
851,00693805037300,0.0
852,00693905050188,-0.0
853,00700205001501,0.0
854,00700305002933,0.0
855,00700405004365,0.0
856,00700805038733,0.0
889,00723400034439,0.0
890,00723700035871,0.0
891,00723900050191,-0.0
892,00730100000072,0.0
893,00730200001504,-0.0
894,00730300002936,0.0
895,00730600007232,0.0
864,00702305022981,0.0
865,00702405024413,0.0
866,00702505025845,0.0
867,00702705043029,-0.0
28,00040700054419,0.0
869,00703105031573,0.0
870,00703705035869,0.0
871,00703905050189,-0.0
872,00720100000071,-0.0
905,00732200051624,0.0
906,00732400024416,0.0
907,00732800044464,0.0
908,00732900028712,-0.0
909,00733000030144,0.0
910,00733600048760,0.0
911,00733700035872,0.0
880,00721500017255,-0.0
881,00721800040167,0.0
882,00721900045895,0.0
883,00722000041599,-0.0
884,00722200051623,-0.0
885,00722800044463,-0.0
886,00723000030143,-0.0
887,00723100031575,0.0
888,00723300033007,-0.0
921,00741500017257,-0.0
922,00741700020121,-0.0
923,00741800040169,-0.0
924,00742100021553,0.0
925,00742200051625,0.0
926,00742500025849,-0.0
927,00742600027281,-0.0
896,00730800038736,0.0
897,00731000011528,-0.0
898,00731200012960,-0.0
899,00731300014392,0.0
27,00040400004299,0.0
901,00731500017256,0.0
902,00731700020120,0.0
903,00731800040168,0.0
904,00732000041600,0.0
936,00750800038738,0.0
937,00751000011530,-0.0
938,00751100010098,0.0
939,00751200012962,0.0
940,00751300014394,-0.0
941,00751400015826,-0.0
942,00751500017258,0.0
943,00751800040170,-0.0
912,00733900050192,-0.0
913,00740100000073,0.0
914,00740200001505,0.0
915,00740300002937,-0.0
916,00740800038737,0.0
917,00740900008665,0.0
918,00741100010097,-0.0
919,00741300014393,-0.0
952,00753300033010,-0.0
953,00753700035874,-0.0
954,00753800037306,-0.0
955,00753900050194,0.0
956,00760504005803,-0.0
957,00760704054491,0.0
958,00760804038739,0.0
959,00760904008667,0.0
928,00742700043033,0.0
929,00743000030145,-0.0
930,00743700035873,-0.0
931,00743900050193,0.0
932,00744000053057,-0.0
933,00750200001506,-0.0
934,00750300002938,-0.0
935,00750500005802,-0.0
968,00762704043035,0.0
969,00762904028715,0.0
970,00763104031579,-0.0
971,00763304033011,-0.0
972,00763804037307,-0.0
973,00763904050195,0.0
974,00790100000078,0.0
975,00790200001510,0.0
944,00752100021554,-0.0
945,00752400024418,0.0
946,00752500025850,-0.0
947,00752600027282,0.0
948,00752800044466,0.0
949,00752900028714,0.0
950,00753000030146,0.0
951,00753100031578,-0.0
984,00793200055926,0.0
985,00793900050198,0.0
986,00800100000079,0.0
987,00801100010103,0.0
988,00802400024423,0.0
989,00803000030151,0.0
990,00803200055927,0.0
991,00803600048767,0.0
960,00761304014395,-0.0
961,00761504017259,0.0
962,00761804040171,-0.0
963,00762104021555,-0.0
964,00762204051627,0.0
965,00762404024419,0.0
966,00762504025851,-0.0
967,00762604027283,0.0
1000,00811104010104,0.0
1001,00811204012968,-0.0
1002,00811304014400,-0.0
1003,00811504017264,0.0
1004,00811904045904,0.0
1005,00812004041608,0.0
1006,00812104021560,0.0
1007,00812304022992,0.0
976,00790500005806,0.0
977,00790700054494,0.0
978,00791100010102,0.0
979,00791300014398,0.0
980,00791900045902,0.0
981,00792100021558,0.0
982,00792300022990,0.0
983,00792600027286,0.0
1016,00813604048768,0.0
1017,00813804037312,0.0
1018,00813904050200,0.0
1019,00814004053064,0.0
1020,00820500005809,0.0
1021,00821000011537,-0.0
1022,00821200012969,-0.0
1023,00821400015833,-0.0
992,00803900050199,0.0
993,00804000053063,0.0
994,00810104000080,0.0
995,00810204001512,0.0
996,00810504005808,-0.0
997,00810804038744,0.0
998,00810904008672,0.0
999,00811004011536,-0.0
1032,00822800044473,0.0
1033,00822900028721,-0.0
1034,00823000030153,0.0
1035,00823100031585,-0.0
1036,00823400034449,-0.0
1037,00823500047337,0.0
1038,00823600048769,0.0
1039,00823800037313,-0.0
1008,00812404024424,0.0
1009,00812504025856,0.0
1010,00812604027288,-0.0
1011,00812704043040,0.0
1012,00812804044472,0.0
1013,00813004030152,0.0
1014,00813204055928,0.0
1015,00813404034448,0.0
1048,00831604018698,-0.0
1049,00832204051634,-0.0
1050,00832804044474,-0.0
1051,00832904028722,-0.0
1052,00833004030154,-0.0
1053,00833404034450,-0.0
1054,00833504047338,-0.0
1055,00833804037314,-0.0
1024,00821500017265,-0.0
1025,00821600018697,0.0
1026,00821700020129,-0.0
1027,00822000041609,-0.0
1028,00822100021561,0.0
1029,00822200051633,0.0
1030,00822300022993,0.0
1031,00822400024425,0.0
1064,00841504017267,-0.0
1065,00841704020131,-0.0
1066,00842204051635,0.0
1067,00842304022995,0.0
1068,00842704043043,0.0
1069,00842804044475,0.0
1070,00843004030155,0.0
