,Afghanistan,Australia,Austria,Bangladesh,Belgium,Canada,Chad,China,"Congo, Dem. Rep.",Denmark,Ethiopia,Finland,France,Germany,India,Ireland,Italy,Japan,Kenya,"Korea, Rep.",Madagascar,Malawi,Mozambique,Myanmar,Nepal,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Singapore,South Sudan,Sweden,Switzerland,Tanzania,Uganda,United Kingdom,United States,"Yemen, Rep.",Zimbabwe
1993,0.43604546197555916,0.27450176564412626,0.5023777090586189,0.35412220043122045,0.5177116810428884,0.5157593728976513,0.28459944684079314,0.264808516040783,0.2730939038525658,0.40547930852803177,0.5164016575209733,0.47439394406022517,0.35440639564847565,0.23426147038078388,0.38767126519235795,0.37457430406536124,0.11814432273029157,0.37267829436443783,0.4046383702474658,0.4187765493400964,0.16653333663625802,0.34577922814430045,0.48028885716616165,0.5131155813808694,0.4210526514304684,0.5022643259280869,0.5053756260434056,0.01474105482361156,0.48783791684826705,0.24845784833759882,0.41300038787131155,0.3537257995226374,0.4364531885050343,0.29840548421544655,0.354469617857444,0.35968428874266134,0.1556117905161952,0.5359572984416647,0.3648751803274011,0.5253303886443553
1994,0.4266363867053453,0.29199914833178336,0.5098142710828044,0.3775525984200206,0.5349511347846768,0.5230446771870588,0.3022306316241953,0.28357892018152836,0.2794198065482965,0.43860650908823035,0.523808608608255,0.4979914750529062,0.36748084157193606,0.25163517846082034,0.40506639222685764,0.3805947684351744,0.12777987052095827,0.3937376803692497,0.42534125719137905,0.438760896565186,0.1964880598081331,0.35767416900699117,0.49464267395358164,0.5348236843894367,0.43943365379816846,0.5273964518273622,0.5271508114922285,0.03520172264708818,0.5054401340720336,0.33075125385431775,0.4374309049841634,0.35348069759703576,0.4141465375979352,0.2772535147733444,0.3657453086791811,0.36365409601516235,0.1350500401635819,0.5027348317203217,0.3800878791166774,0.6596506016221128
1995,0.43673924354828786,0.5240081380462808,0.5129919391031939,0.3982650586999532,0.5427480521408652,0.5276140047876666,0.30160905605567373,0.3015625638116926,0.2708468827973144,0.45413786596931316,0.5205399128319494,0.5093600947175385,0.38526329083528554,0.2388136033966619,0.42431031320764356,0.386465645980083,0.14027143447607832,0.4141737999142312,0.44260686154089984,0.4408951764169079,0.2058003156488527,0.35454778860581293,0.5044939466488685,0.5317105256682064,0.45003779957943424,0.5269386433030625,0.535101195381419,0.06061446219142126,0.49619827930501825,0.38407580672231395,0.4373514007605163,0.3608530862933947,0.396050183337875,0.29287297696919073,0.3800101911067594,0.39765907543166706,0.14645230677017507,0.49390789426380205,0.3999091635374207,0.5811240920194962
1996,0.4230955149807524,0.5492384310034854,0.5487696719181379,0.39684249102938135,0.558801571112414,0.5416771795049056,0.2933498979955589,0.32300605377380515,0.27994746486735456,0.46888412508850724,0.5218223043699728,0.5234344028932798,0.4020634576818929,0.24766030818020235,0.4505505523308523,0.3925251949023484,0.15010645482967425,0.43147481653965464,0.4652440151530951,0.44297361840370963,0.24140730699186685,0.3829946497753934,0.5251758202918242,0.5452584396769002,0.4743379268580911,0.5394535742889016,0.575590363733566,0.0837967785225188,0.5374902216210503,0.40897376480742437,0.44941799963082474,0.36660287198884134,0.38182989665346956,0.31170678381820166,0.36948192065832,0.4096391648667721,0.1462901614589444,0.4852690013676497,0.4104594816702084,0.5838460807115801
1997,0.4270687990313681,0.5788832114457529,0.583059125057034,0.44719374837302084,0.5651863332430641,0.558099437581886,0.3317195211449194,0.33829334879676287,0.2937620038086012,0.4815162781399441,0.5292951011876598,0.5498183069242266,0.4211239586737315,0.4903821207998656,0.47057945933712236,0.39739720941821494,0.1823898470081986,0.452051488404703,0.473501420371049,0.4735030990130872,0.4787066942475255,0.3904646272235753,0.5409676627196811,0.5747548588172097,0.500327035574443,0.5519271440277915,0.6161003341429763,0.10325742565190613,0.5515077559344341,0.4329570058376836,0.4764832684006721,0.3856225183189997,0.37206230179783517,0.3199424169444699,0.37693530528509905,0.42749209057566473,0.39795579239992934,0.47284530128834784,0.43946605904095565,0.5875795579051162
1998,0.40173575056316957,0.5960362684114083,0.6062697113721289,0.500823300873925,0.570272710936991,0.5793978904872126,0.32956798951831606,0.3574527585285636,0.3025048368309662,0.49623544923018315,0.5472907606722701,0.5673673632662776,0.4368955358609609,0.49596377251999735,0.487583370674416,0.41222164951777274,0.4222033397785371,0.48295759105505653,0.49562017816740983,0.4954347528976258,0.48617635487076605,0.4174712495822736,0.5647737553540068,0.5901300685776228,0.5248888520264258,0.5538508290358952,0.637614790157115,0.13130029498013945,0.560634761135175,0.45787313287691545,0.5238328347597516,0.39949895444523187,0.3625714348874577,0.33508233934706305,0.37817572199628186,0.45119663865947207,0.16851121419306128,0.4693756434510563,0.44718404890514196,0.5009509820206287
1999,0.44959126632610885,0.6193464478037659,0.627202456158682,0.5454928341954609,0.5862123926607848,0.5998518114850822,0.35231778888467596,0.3563478915165634,0.31437664797872356,0.5147263702450762,0.5650287710083407,0.5970263844649064,0.46209856620054607,0.4922291747102393,0.523434879069477,0.41330739190737,0.44075043179448625,0.506263746199793,0.5042959565912208,0.519978907801275,0.5005959824420203,0.4338791984381641,0.5785040252094973,0.6039066628236677,0.5535050634951691,0.5744434322661455,0.6467747395316354,0.14905618279302005,0.5744152064560383,0.4975279999116123,0.5280760136596098,0.43797040327111975,0.3613531393347901,0.3648145568386643,0.39053590771210117,0.4791455858857066,0.17879078755490965,0.47082376621521793,0.45859213321296843,0.6493271520398676
2000,0.45842125951473317,0.638956683038682,0.6414463630360235,0.5477287091325559,0.6054432946193462,0.6297938456746678,0.40826421901666043,0.3955489482519366,0.32458155609145467,0.5421387284139585,0.5871387044951913,0.6162175212104375,0.47680898512845665,0.5106682159173259,0.5540414242954427,0.419393115596063,0.4544703754585198,0.5257483731291994,0.5550284515361338,0.5404714865859317,0.5344583737777078,0.45893346373870614,0.6091702920248147,0.6170743799579804,0.5740063900716607,0.5949548073183999,0.6594073028735595,0.16688478686135466,0.6124275961874849,0.5422404203426284,0.5730295177565398,0.4570620055343511,0.3564678756995403,0.38649182879970057,0.3962846469262409,0.5087433476879597,0.20256350292438075,0.4536124772642111,0.47245731840813643,0.6671578494601331
2001,0.47760887439985056,0.6605198641342569,0.6653329421881559,0.5620934527953287,0.6144351600406714,0.647481470194168,0.43151150933821364,0.4032286825941661,0.330279937117114,0.579600286482292,0.607670383861225,0.6408555608544596,0.5005057661087573,0.5308741863208811,0.5738417129929512,0.4419033547575515,0.46860521906921737,0.5389927843519404,0.5478258540532448,0.5648258552519189,0.5731941397645813,0.4774010644844788,0.6265378511827852,0.6285601493942146,0.6116333068858483,0.6136030739716326,0.6834643778073267,0.19623415544486456,0.6261993944545399,0.5795803096569888,0.5808989514678768,0.47451058509006505,0.37542324410442907,0.41697608562754307,0.41758049656890384,0.5384698892617449,0.22645663099573593,0.42297207824171573,0.4939612050620311,0.6754768312684054
2002,0.4938754723704089,0.6587210115100876,0.6583333012908437,0.5770195063090295,0.6285162016784486,0.6540538074604967,0.4495811715366654,0.4060699171018201,0.34802354943246744,0.6205902513302332,0.6136251129266306,0.6606546124484722,0.5222871661020072,0.5443858112661257,0.5787669192213853,0.450271180883739,0.48815840186281567,0.5555074414085968,0.5441854189964519,0.5904803194082334,0.5880826572750477,0.4893603017657296,0.6459448527850413,0.6498184003525092,0.6305649532255891,0.6396943378631872,0.7036303594402434,0.2181252440727391,0.6332920490323527,0.6054504774125644,0.5951147947011608,0.495305004680194,0.4000539583447139,0.4429348647780952,0.4273553141136021,0.5712066589142356,0.24828461613841393,0.4650135248032823,0.5123166071070511,0.682733848181667
