,Series Name
3925,"Services, value added per worker (constant 2015 US$)"
3927,Taxes less subsidies on products (constant LCU)
3931,Terms of trade adjustment (constant LCU)
3940,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
3943,Adjusted net national income (constant 2015 US$)
3945,Adjusted net national income per capita (constant 2015 US$)
3956,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
3957,"Agriculture, forestry, and fishing, value added (constant LCU)"
3960,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
3982,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
3995,Exports as a capacity to import (constant LCU)
3996,Exports of goods and services (constant 2015 US$)
3997,Exports of goods and services (constant LCU)
4000,External balance on goods and services (constant LCU)
4006,Final consumption expenditure (constant 2015 US$)
4007,Final consumption expenditure (constant LCU)
4016,GDP (constant 2015 US$)
4017,GDP (constant LCU)
4022,GDP per capita (constant 2015 US$)
4023,GDP per capita (constant LCU)
4026,"GDP per capita, PPP (constant 2021 international $)"
4028,GDP per person employed (constant 2021 PPP $)
4029,"GDP, PPP (constant 2021 international $)"
4032,General government final consumption expenditure (constant 2015 US$)
4033,General government final consumption expenditure (constant LCU)
4036,GNI (constant 2015 US$)
4037,GNI (constant LCU)
4040,GNI per capita (constant 2015 US$)
4041,GNI per capita (constant LCU)
4044,"GNI per capita, PPP (constant 2021 international $)"
4047,"GNI, PPP (constant 2021 international $)"
4051,Gross capital formation (constant 2015 US$)
4052,Gross capital formation (constant LCU)
4055,Gross domestic income (constant LCU)
4058,Gross fixed capital formation (constant 2015 US$)
4059,Gross fixed capital formation (constant LCU)
4062,Gross national expenditure (constant 2015 US$)
4063,Gross national expenditure (constant LCU)
4067,Gross value added at basic prices (GVA) (constant 2015 US$)
4068,Gross value added at basic prices (GVA) (constant LCU)
4072,Households and NPISHs Final consumption expenditure (constant 2015 US$)
4073,Households and NPISHs Final consumption expenditure (constant LCU)
4076,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
4077,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
4080,Imports of goods and services (constant 2015 US$)
4081,Imports of goods and services (constant LCU)
4084,"Industry (including construction), value added (constant 2015 US$)"
4085,"Industry (including construction), value added (constant LCU)"
4088,"Industry (including construction), value added per worker (constant 2015 US$)"
4101,"Manufacturing, value added (constant 2015 US$)"
4102,"Manufacturing, value added (constant LCU)"
4133,"Net ODA provided, total (constant 2021 US$)"
4196,"Services, value added (constant 2015 US$)"
4197,"Services, value added (constant LCU)"
4200,"Services, value added per worker (constant 2015 US$)"
4205,Taxes less subsidies on products (constant LCU)
4210,Terms of trade adjustment (constant LCU)
4217,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
4219,Adjusted net national income (constant 2015 US$)
4221,Adjusted net national income per capita (constant 2015 US$)
4237,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
4238,"Agriculture, forestry, and fishing, value added (constant LCU)"
4241,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
4265,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
4282,Exports as a capacity to import (constant LCU)
4284,Exports of goods and services (constant 2015 US$)
4285,Exports of goods and services (constant LCU)
4289,External balance on goods and services (constant LCU)
4295,Final consumption expenditure (constant 2015 US$)
4296,Final consumption expenditure (constant LCU)
4306,GDP (constant 2015 US$)
4307,GDP (constant LCU)
4312,GDP per capita (constant 2015 US$)
4313,GDP per capita (constant LCU)
4316,"GDP per capita, PPP (constant 2021 international $)"
4318,GDP per person employed (constant 2021 PPP $)
4319,"GDP, PPP (constant 2021 international $)"
4322,General government final consumption expenditure (constant 2015 US$)
4323,General government final consumption expenditure (constant LCU)
4326,GNI (constant 2015 US$)
4327,GNI (constant LCU)
4330,GNI per capita (constant 2015 US$)
4331,GNI per capita (constant LCU)
4334,"GNI per capita, PPP (constant 2021 international $)"
4337,"GNI, PPP (constant 2021 international $)"
4344,Gross capital formation (constant 2015 US$)
4345,Gross capital formation (constant LCU)
4348,Gross domestic income (constant LCU)
4351,Gross fixed capital formation (constant 2015 US$)
4352,Gross fixed capital formation (constant LCU)
4355,Gross national expenditure (constant 2015 US$)
4356,Gross national expenditure (constant LCU)
4362,Gross value added at basic prices (GVA) (constant 2015 US$)
4363,Gross value added at basic prices (GVA) (constant LCU)
4367,Households and NPISHs Final consumption expenditure (constant 2015 US$)
4368,Households and NPISHs Final consumption expenditure (constant LCU)
4371,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
4372,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
4377,Imports of goods and services (constant 2015 US$)
4378,Imports of goods and services (constant LCU)
4385,"Industry (including construction), value added (constant 2015 US$)"
4386,"Industry (including construction), value added (constant LCU)"
4389,"Industry (including construction), value added per worker (constant 2015 US$)"
4401,"Manufacturing, value added (constant 2015 US$)"
4402,"Manufacturing, value added (constant LCU)"
4437,"Net ODA provided, total (constant 2021 US$)"
4440,Net primary income (Net income from abroad) (constant LCU)
4514,"Services, value added (constant 2015 US$)"
4515,"Services, value added (constant LCU)"
4518,"Services, value added per worker (constant 2015 US$)"
4524,Taxes less subsidies on products (constant LCU)
4529,Terms of trade adjustment (constant LCU)
4537,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
4540,Adjusted net national income (constant 2015 US$)
4542,Adjusted net national income per capita (constant 2015 US$)
4558,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
4559,"Agriculture, forestry, and fishing, value added (constant LCU)"
4562,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
4583,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
4604,Exports as a capacity to import (constant LCU)
4606,Exports of goods and services (constant 2015 US$)
4607,Exports of goods and services (constant LCU)
4620,Final consumption expenditure (constant 2015 US$)
4621,Final consumption expenditure (constant LCU)
4630,GDP (constant 2015 US$)
4631,GDP (constant LCU)
4636,GDP per capita (constant 2015 US$)
4637,GDP per capita (constant LCU)
4640,"GDP per capita, PPP (constant 2021 international $)"
4642,GDP per person employed (constant 2021 PPP $)
4643,"GDP, PPP (constant 2021 international $)"
4646,General government final consumption expenditure (constant 2015 US$)
4647,General government final consumption expenditure (constant LCU)
4650,GNI (constant 2015 US$)
4651,GNI (constant LCU)
4654,GNI per capita (constant 2015 US$)
4655,GNI per capita (constant LCU)
4658,"GNI per capita, PPP (constant 2021 international $)"
4661,"GNI, PPP (constant 2021 international $)"
4667,Gross capital formation (constant 2015 US$)
4668,Gross capital formation (constant LCU)
4671,Gross domestic income (constant LCU)
4674,Gross fixed capital formation (constant 2015 US$)
4675,Gross fixed capital formation (constant LCU)
4679,Gross national expenditure (constant 2015 US$)
4680,Gross national expenditure (constant LCU)
4686,Gross value added at basic prices (GVA) (constant 2015 US$)
4687,Gross value added at basic prices (GVA) (constant LCU)
4690,Households and NPISHs Final consumption expenditure (constant 2015 US$)
4691,Households and NPISHs Final consumption expenditure (constant LCU)
4694,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
4695,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
4706,Imports of goods and services (constant 2015 US$)
4707,Imports of goods and services (constant LCU)
4714,"Industry (including construction), value added (constant 2015 US$)"
4715,"Industry (including construction), value added (constant LCU)"
4716,"Industry (including construction), value added per worker (constant 2015 US$)"
4781,Net official development assistance and official aid received (constant 2021 US$)
4783,Net official development assistance received (constant 2021 US$)
4858,"Services, value added (constant 2015 US$)"
4859,"Services, value added (constant LCU)"
4862,"Services, value added per worker (constant 2015 US$)"
4865,Taxes less subsidies on products (constant LCU)
4869,Terms of trade adjustment (constant LCU)
4878,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
4881,Adjusted net national income (constant 2015 US$)
4883,Adjusted net national income per capita (constant 2015 US$)
4896,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
4897,"Agriculture, forestry, and fishing, value added (constant LCU)"
4900,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
4922,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
4936,Exports as a capacity to import (constant LCU)
4937,Exports of goods and services (constant 2015 US$)
4938,Exports of goods and services (constant LCU)
4951,Final consumption expenditure (constant 2015 US$)
4952,Final consumption expenditure (constant LCU)
4959,GDP (constant 2015 US$)
4960,GDP (constant LCU)
4965,GDP per capita (constant 2015 US$)
4966,GDP per capita (constant LCU)
4969,"GDP per capita, PPP (constant 2021 international $)"
4971,GDP per person employed (constant 2021 PPP $)
4972,"GDP, PPP (constant 2021 international $)"
4975,General government final consumption expenditure (constant 2015 US$)
4976,General government final consumption expenditure (constant LCU)
4979,GNI (constant 2015 US$)
4980,GNI (constant LCU)
4983,GNI per capita (constant 2015 US$)
4984,GNI per capita (constant LCU)
4987,"GNI per capita, PPP (constant 2021 international $)"
4990,"GNI, PPP (constant 2021 international $)"
4994,Gross capital formation (constant 2015 US$)
4995,Gross capital formation (constant LCU)
4998,Gross domestic income (constant LCU)
5001,Gross national expenditure (constant 2015 US$)
5002,Gross national expenditure (constant LCU)
5006,Gross value added at basic prices (GVA) (constant 2015 US$)
5007,Gross value added at basic prices (GVA) (constant LCU)
5010,Households and NPISHs Final consumption expenditure (constant 2015 US$)
5011,Households and NPISHs Final consumption expenditure (constant LCU)
5014,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
5015,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
5023,Imports of goods and services (constant 2015 US$)
5024,Imports of goods and services (constant LCU)
5030,"Industry (including construction), value added (constant 2015 US$)"
5031,"Industry (including construction), value added (constant LCU)"
5034,"Industry (including construction), value added per worker (constant 2015 US$)"
5043,"Manufacturing, value added (constant 2015 US$)"
5044,"Manufacturing, value added (constant LCU)"
5107,Net official development assistance and official aid received (constant 2021 US$)
5109,Net official development assistance received (constant 2021 US$)
5174,"Services, value added (constant 2015 US$)"
5175,"Services, value added (constant LCU)"
5178,"Services, value added per worker (constant 2015 US$)"
5180,Taxes less subsidies on products (constant LCU)
5184,Terms of trade adjustment (constant LCU)
5192,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
5232,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
5257,GDP (constant 2015 US$)
5258,GDP (constant LCU)
5263,GDP per capita (constant 2015 US$)
5264,GDP per capita (constant LCU)
5267,"GDP per capita, PPP (constant 2021 international $)"
5269,GDP per person employed (constant 2021 PPP $)
5270,"GDP, PPP (constant 2021 international $)"
5345,Net official development assistance and official aid received (constant 2021 US$)
5347,Net official development assistance received (constant 2021 US$)
5413,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
5432,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
5433,"Agriculture, forestry, and fishing, value added (constant LCU)"
5436,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
5458,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
5496,GDP (constant 2015 US$)
5497,GDP (constant LCU)
5502,GDP per capita (constant 2015 US$)
5503,GDP per capita (constant LCU)
5506,"GDP per capita, PPP (constant 2021 international $)"
5508,GDP per person employed (constant 2021 PPP $)
5509,"GDP, PPP (constant 2021 international $)"
5537,Gross value added at basic prices (GVA) (constant 2015 US$)
5538,Gross value added at basic prices (GVA) (constant LCU)
5556,"Industry (including construction), value added (constant 2015 US$)"
5557,"Industry (including construction), value added (constant LCU)"
5560,"Industry (including construction), value added per worker (constant 2015 US$)"
5569,"Manufacturing, value added (constant 2015 US$)"
5570,"Manufacturing, value added (constant LCU)"
5633,Net official development assistance and official aid received (constant 2021 US$)
5635,Net official development assistance received (constant 2021 US$)
5716,"Services, value added (constant 2015 US$)"
5717,"Services, value added (constant LCU)"
5720,"Services, value added per worker (constant 2015 US$)"
5723,Taxes less subsidies on products (constant LCU)
5741,Adjusted net national income (constant 2015 US$)
5743,Adjusted net national income per capita (constant 2015 US$)
5757,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
5758,"Agriculture, forestry, and fishing, value added (constant LCU)"
5761,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
5785,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
5800,Discrepancy in expenditure estimate of GDP (constant LCU)
5803,Exports as a capacity to import (constant LCU)
5805,Exports of goods and services (constant 2015 US$)
5806,Exports of goods and services (constant LCU)
5810,External balance on goods and services (constant LCU)
5816,Final consumption expenditure (constant 2015 US$)
5817,Final consumption expenditure (constant LCU)
5827,GDP (constant 2015 US$)
5828,GDP (constant LCU)
5833,GDP per capita (constant 2015 US$)
5834,GDP per capita (constant LCU)
5837,"GDP per capita, PPP (constant 2021 international $)"
5839,GDP per person employed (constant 2021 PPP $)
5840,"GDP, PPP (constant 2021 international $)"
5843,General government final consumption expenditure (constant 2015 US$)
5844,General government final consumption expenditure (constant LCU)
5847,GNI (constant 2015 US$)
5848,GNI (constant LCU)
5851,GNI per capita (constant 2015 US$)
5852,GNI per capita (constant LCU)
5855,"GNI per capita, PPP (constant 2021 international $)"
5858,"GNI, PPP (constant 2021 international $)"
5865,Gross capital formation (constant 2015 US$)
5866,Gross capital formation (constant LCU)
5869,Gross domestic income (constant LCU)
5872,Gross fixed capital formation (constant 2015 US$)
5873,Gross fixed capital formation (constant LCU)
5876,Gross national expenditure (constant 2015 US$)
5877,Gross national expenditure (constant LCU)
5883,Gross value added at basic prices (GVA) (constant 2015 US$)
5884,Gross value added at basic prices (GVA) (constant LCU)
5888,Households and NPISHs Final consumption expenditure (constant 2015 US$)
5889,Households and NPISHs Final consumption expenditure (constant LCU)
5892,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
5893,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
5898,Imports of goods and services (constant 2015 US$)
5899,Imports of goods and services (constant LCU)
5906,"Industry (including construction), value added (constant 2015 US$)"
5907,"Industry (including construction), value added (constant LCU)"
5910,"Industry (including construction), value added per worker (constant 2015 US$)"
5923,"Manufacturing, value added (constant 2015 US$)"
5924,"Manufacturing, value added (constant LCU)"
5959,"Net ODA provided, total (constant 2021 US$)"
5962,Net primary income (Net income from abroad) (constant LCU)
6034,"Services, value added (constant 2015 US$)"
6035,"Services, value added (constant LCU)"
6038,"Services, value added per worker (constant 2015 US$)"
6044,Taxes less subsidies on products (constant LCU)
6049,Terms of trade adjustment (constant LCU)
6057,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
6060,Adjusted net national income (constant 2015 US$)
6062,Adjusted net national income per capita (constant 2015 US$)
6075,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
6076,"Agriculture, forestry, and fishing, value added (constant LCU)"
6079,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
6102,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
6123,Exports as a capacity to import (constant LCU)
6125,Exports of goods and services (constant 2015 US$)
6126,Exports of goods and services (constant LCU)
6130,External balance on goods and services (constant LCU)
6136,Final consumption expenditure (constant 2015 US$)
6137,Final consumption expenditure (constant LCU)
6147,GDP (constant 2015 US$)
6148,GDP (constant LCU)
6153,GDP per capita (constant 2015 US$)
6154,GDP per capita (constant LCU)
6157,"GDP per capita, PPP (constant 2021 international $)"
6159,GDP per person employed (constant 2021 PPP $)
6160,"GDP, PPP (constant 2021 international $)"
6163,General government final consumption expenditure (constant 2015 US$)
6164,General government final consumption expenditure (constant LCU)
6167,GNI (constant 2015 US$)
6168,GNI (constant LCU)
6171,GNI per capita (constant 2015 US$)
6172,GNI per capita (constant LCU)
6175,"GNI per capita, PPP (constant 2021 international $)"
6178,"GNI, PPP (constant 2021 international $)"
6184,Gross capital formation (constant 2015 US$)
6185,Gross capital formation (constant LCU)
6188,Gross domestic income (constant LCU)
6191,Gross fixed capital formation (constant 2015 US$)
6192,Gross fixed capital formation (constant LCU)
6195,Gross national expenditure (constant 2015 US$)
6196,Gross national expenditure (constant LCU)
6202,Gross value added at basic prices (GVA) (constant 2015 US$)
6203,Gross value added at basic prices (GVA) (constant LCU)
6207,Households and NPISHs Final consumption expenditure (constant 2015 US$)
6208,Households and NPISHs Final consumption expenditure (constant LCU)
6211,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
6212,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
6217,Imports of goods and services (constant 2015 US$)
6218,Imports of goods and services (constant LCU)
6222,"Industry (including construction), value added (constant 2015 US$)"
6223,"Industry (including construction), value added (constant LCU)"
6226,"Industry (including construction), value added per worker (constant 2015 US$)"
6239,"Manufacturing, value added (constant 2015 US$)"
6240,"Manufacturing, value added (constant LCU)"
6277,"Net ODA provided, total (constant 2021 US$)"
6280,Net primary income (Net income from abroad) (constant LCU)
6357,"Services, value added (constant 2015 US$)"
6358,"Services, value added (constant LCU)"
6361,"Services, value added per worker (constant 2015 US$)"
6367,Taxes less subsidies on products (constant LCU)
6373,Terms of trade adjustment (constant LCU)
6381,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
6383,Adjusted net national income (constant 2015 US$)
6385,Adjusted net national income per capita (constant 2015 US$)
6399,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
6400,"Agriculture, forestry, and fishing, value added (constant LCU)"
6403,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
6428,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
6431,Changes in inventories (constant LCU)
6451,Exports as a capacity to import (constant LCU)
6453,Exports of goods and services (constant 2015 US$)
6454,Exports of goods and services (constant LCU)
6468,Final consumption expenditure (constant 2015 US$)
6469,Final consumption expenditure (constant LCU)
6479,GDP (constant 2015 US$)
6480,GDP (constant LCU)
6485,GDP per capita (constant 2015 US$)
6486,GDP per capita (constant LCU)
6489,"GDP per capita, PPP (constant 2021 international $)"
6491,GDP per person employed (constant 2021 PPP $)
6492,"GDP, PPP (constant 2021 international $)"
6495,General government final consumption expenditure (constant 2015 US$)
6496,General government final consumption expenditure (constant LCU)
6499,GNI (constant 2015 US$)
6500,GNI (constant LCU)
6503,GNI per capita (constant 2015 US$)
6504,GNI per capita (constant LCU)
6507,"GNI per capita, PPP (constant 2021 international $)"
6510,"GNI, PPP (constant 2021 international $)"
6516,Gross capital formation (constant 2015 US$)
6517,Gross capital formation (constant LCU)
6520,Gross domestic income (constant LCU)
6523,Gross fixed capital formation (constant 2015 US$)
6524,Gross fixed capital formation (constant LCU)
6528,Gross national expenditure (constant 2015 US$)
6529,Gross national expenditure (constant LCU)
6535,Gross value added at basic prices (GVA) (constant 2015 US$)
6536,Gross value added at basic prices (GVA) (constant LCU)
6539,Households and NPISHs Final consumption expenditure (constant 2015 US$)
6540,Households and NPISHs Final consumption expenditure (constant LCU)
6543,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
6544,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
6555,Imports of goods and services (constant 2015 US$)
6556,Imports of goods and services (constant LCU)
6562,"Industry (including construction), value added (constant 2015 US$)"
6563,"Industry (including construction), value added (constant LCU)"
6566,"Industry (including construction), value added per worker (constant 2015 US$)"
6574,"Manufacturing, value added (constant 2015 US$)"
6575,"Manufacturing, value added (constant LCU)"
6642,Net official development assistance and official aid received (constant 2021 US$)
6644,Net official development assistance received (constant 2021 US$)
6724,"Services, value added (constant 2015 US$)"
6725,"Services, value added (constant LCU)"
6728,"Services, value added per worker (constant 2015 US$)"
6730,Taxes less subsidies on products (constant LCU)
6734,Terms of trade adjustment (constant LCU)
6743,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
6759,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
6760,"Agriculture, forestry, and fishing, value added (constant LCU)"
6763,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
6787,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
6789,Changes in inventories (constant LCU)
6807,Exports as a capacity to import (constant LCU)
6809,Exports of goods and services (constant 2015 US$)
6810,Exports of goods and services (constant LCU)
6819,Final consumption expenditure (constant 2015 US$)
6820,Final consumption expenditure (constant LCU)
6830,GDP (constant 2015 US$)
6831,GDP (constant LCU)
6836,GDP per capita (constant 2015 US$)
6837,GDP per capita (constant LCU)
6840,"GDP per capita, PPP (constant 2021 international $)"
6842,GDP per person employed (constant 2021 PPP $)
6843,"GDP, PPP (constant 2021 international $)"
6846,General government final consumption expenditure (constant 2015 US$)
6847,General government final consumption expenditure (constant LCU)
6864,Gross domestic income (constant LCU)
6867,Gross fixed capital formation (constant 2015 US$)
6868,Gross fixed capital formation (constant LCU)
6876,Gross value added at basic prices (GVA) (constant 2015 US$)
6877,Gross value added at basic prices (GVA) (constant LCU)
6880,Households and NPISHs Final consumption expenditure (constant 2015 US$)
6881,Households and NPISHs Final consumption expenditure (constant LCU)
6884,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
6885,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
6893,Imports of goods and services (constant 2015 US$)
6894,Imports of goods and services (constant LCU)
6898,"Industry (including construction), value added (constant 2015 US$)"
6899,"Industry (including construction), value added (constant LCU)"
6902,"Industry (including construction), value added per worker (constant 2015 US$)"
6913,"Manufacturing, value added (constant 2015 US$)"
6914,"Manufacturing, value added (constant LCU)"
7017,"Services, value added (constant 2015 US$)"
7018,"Services, value added (constant LCU)"
7021,"Services, value added per worker (constant 2015 US$)"
7026,Taxes less subsidies on products (constant LCU)
7031,Terms of trade adjustment (constant LCU)
7039,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
7042,Adjusted net national income (constant 2015 US$)
7044,Adjusted net national income per capita (constant 2015 US$)
7057,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
7058,"Agriculture, forestry, and fishing, value added (constant LCU)"
7061,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
7084,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
7102,Exports as a capacity to import (constant LCU)
7104,Exports of goods and services (constant 2015 US$)
7105,Exports of goods and services (constant LCU)
7109,External balance on goods and services (constant LCU)
7115,Final consumption expenditure (constant 2015 US$)
7116,Final consumption expenditure (constant LCU)
7126,GDP (constant 2015 US$)
7127,GDP (constant LCU)
7132,GDP per capita (constant 2015 US$)
7133,GDP per capita (constant LCU)
7136,"GDP per capita, PPP (constant 2021 international $)"
7138,GDP per person employed (constant 2021 PPP $)
7139,"GDP, PPP (constant 2021 international $)"
7142,General government final consumption expenditure (constant 2015 US$)
7143,General government final consumption expenditure (constant LCU)
7146,GNI (constant 2015 US$)
7147,GNI (constant LCU)
7150,GNI per capita (constant 2015 US$)
7151,GNI per capita (constant LCU)
7154,"GNI per capita, PPP (constant 2021 international $)"
7157,"GNI, PPP (constant 2021 international $)"
7164,Gross capital formation (constant 2015 US$)
7165,Gross capital formation (constant LCU)
7168,Gross domestic income (constant LCU)
7171,Gross fixed capital formation (constant 2015 US$)
7172,Gross fixed capital formation (constant LCU)
7175,Gross national expenditure (constant 2015 US$)
7176,Gross national expenditure (constant LCU)
7182,Gross value added at basic prices (GVA) (constant 2015 US$)
7183,Gross value added at basic prices (GVA) (constant LCU)
7187,Households and NPISHs Final consumption expenditure (constant 2015 US$)
7188,Households and NPISHs Final consumption expenditure (constant LCU)
7191,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
7192,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
7197,Imports of goods and services (constant 2015 US$)
7198,Imports of goods and services (constant LCU)
7202,"Industry (including construction), value added (constant 2015 US$)"
7203,"Industry (including construction), value added (constant LCU)"
7206,"Industry (including construction), value added per worker (constant 2015 US$)"
7217,"Manufacturing, value added (constant 2015 US$)"
7218,"Manufacturing, value added (constant LCU)"
7254,"Net ODA provided, total (constant 2021 US$)"
7257,Net primary income (Net income from abroad) (constant LCU)
7338,"Services, value added (constant 2015 US$)"
7339,"Services, value added (constant LCU)"
7342,"Services, value added per worker (constant 2015 US$)"
7348,Taxes less subsidies on products (constant LCU)
7353,Terms of trade adjustment (constant LCU)
7361,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
7372,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
7373,"Agriculture, forestry, and fishing, value added (constant LCU)"
7376,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
7400,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
7417,Exports as a capacity to import (constant LCU)
7419,Exports of goods and services (constant 2015 US$)
7420,Exports of goods and services (constant LCU)
7424,External balance on goods and services (constant LCU)
7430,Final consumption expenditure (constant 2015 US$)
7431,Final consumption expenditure (constant LCU)
7441,GDP (constant 2015 US$)
7442,GDP (constant LCU)
7447,GDP per capita (constant 2015 US$)
7448,GDP per capita (constant LCU)
7451,"GDP per capita, PPP (constant 2021 international $)"
7453,GDP per person employed (constant 2021 PPP $)
7454,"GDP, PPP (constant 2021 international $)"
7457,General government final consumption expenditure (constant 2015 US$)
7458,General government final consumption expenditure (constant LCU)
7461,GNI (constant 2015 US$)
7462,GNI (constant LCU)
7465,GNI per capita (constant 2015 US$)
7466,GNI per capita (constant LCU)
7469,"GNI per capita, PPP (constant 2021 international $)"
7472,"GNI, PPP (constant 2021 international $)"
7479,Gross capital formation (constant 2015 US$)
7480,Gross capital formation (constant LCU)
7483,Gross domestic income (constant LCU)
7486,Gross fixed capital formation (constant 2015 US$)
7487,Gross fixed capital formation (constant LCU)
7490,Gross national expenditure (constant 2015 US$)
7491,Gross national expenditure (constant LCU)
7497,Gross value added at basic prices (GVA) (constant 2015 US$)
7498,Gross value added at basic prices (GVA) (constant LCU)
7501,Households and NPISHs Final consumption expenditure (constant 2015 US$)
7502,Households and NPISHs Final consumption expenditure (constant LCU)
7505,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
7506,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
7511,Imports of goods and services (constant 2015 US$)
7512,Imports of goods and services (constant LCU)
7517,"Industry (including construction), value added (constant 2015 US$)"
7518,"Industry (including construction), value added (constant LCU)"
7521,"Industry (including construction), value added per worker (constant 2015 US$)"
7535,"Manufacturing, value added (constant 2015 US$)"
7536,"Manufacturing, value added (constant LCU)"
7572,"Net ODA provided, total (constant 2021 US$)"
7575,Net primary income (Net income from abroad) (constant LCU)
7647,"Services, value added (constant 2015 US$)"
7648,"Services, value added (constant LCU)"
7651,"Services, value added per worker (constant 2015 US$)"
7658,Taxes less subsidies on products (constant LCU)
7664,Terms of trade adjustment (constant LCU)
7672,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
7683,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
7684,"Agriculture, forestry, and fishing, value added (constant LCU)"
7687,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
7713,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
7731,Exports as a capacity to import (constant LCU)
7733,Exports of goods and services (constant 2015 US$)
7734,Exports of goods and services (constant LCU)
7738,External balance on goods and services (constant LCU)
7744,Final consumption expenditure (constant 2015 US$)
7745,Final consumption expenditure (constant LCU)
7755,GDP (constant 2015 US$)
7756,GDP (constant LCU)
7761,GDP per capita (constant 2015 US$)
7762,GDP per capita (constant LCU)
7765,"GDP per capita, PPP (constant 2021 international $)"
7767,GDP per person employed (constant 2021 PPP $)
7768,"GDP, PPP (constant 2021 international $)"
7771,General government final consumption expenditure (constant 2015 US$)
7772,General government final consumption expenditure (constant LCU)
7788,Gross capital formation (constant 2015 US$)
