,Series Name
859,"GDP, PPP (constant 2021 international $)"
862,General government final consumption expenditure (constant 2015 US$)
863,General government final consumption expenditure (constant LCU)
877,Gross capital formation (constant 2015 US$)
878,Gross capital formation (constant LCU)
881,Gross domestic income (constant LCU)
884,Gross fixed capital formation (constant 2015 US$)
885,Gross fixed capital formation (constant LCU)
889,Gross national expenditure (constant 2015 US$)
890,Gross national expenditure (constant LCU)
896,Gross value added at basic prices (GVA) (constant 2015 US$)
897,Gross value added at basic prices (GVA) (constant LCU)
900,Households and NPISHs Final consumption expenditure (constant 2015 US$)
901,Households and NPISHs Final consumption expenditure (constant LCU)
904,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
905,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
916,Imports of goods and services (constant 2015 US$)
917,Imports of goods and services (constant LCU)
926,"Industry (including construction), value added (constant 2015 US$)"
927,"Industry (including construction), value added (constant LCU)"
930,"Industry (including construction), value added per worker (constant 2015 US$)"
938,"Manufacturing, value added (constant 2015 US$)"
939,"Manufacturing, value added (constant LCU)"
1007,Net official development assistance and official aid received (constant 2021 US$)
1009,Net official development assistance received (constant 2021 US$)
1085,"Services, value added (constant 2015 US$)"
1086,"Services, value added (constant LCU)"
1089,"Services, value added per worker (constant 2015 US$)"
1093,Taxes less subsidies on products (constant LCU)
1097,Terms of trade adjustment (constant LCU)
1108,Adjusted net national income (constant 2015 US$)
1110,Adjusted net national income per capita (constant 2015 US$)
1122,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
1123,"Agriculture, forestry, and fishing, value added (constant LCU)"
1126,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
1150,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
1161,Exports as a capacity to import (constant LCU)
1162,Exports of goods and services (constant 2015 US$)
1163,Exports of goods and services (constant LCU)
1166,External balance on goods and services (constant LCU)
1171,Final consumption expenditure (constant 2015 US$)
1172,Final consumption expenditure (constant LCU)
1179,GDP (constant 2015 US$)
1180,GDP (constant LCU)
1185,GDP per capita (constant 2015 US$)
1186,GDP per capita (constant LCU)
1189,"GDP per capita, PPP (constant 2021 international $)"
1191,GDP per person employed (constant 2021 PPP $)
1192,"GDP, PPP (constant 2021 international $)"
1195,General government final consumption expenditure (constant 2015 US$)
1196,General government final consumption expenditure (constant LCU)
1199,GNI (constant 2015 US$)
1200,GNI (constant LCU)
1203,GNI per capita (constant 2015 US$)
1204,GNI per capita (constant LCU)
1207,"GNI per capita, PPP (constant 2021 international $)"
1210,"GNI, PPP (constant 2021 international $)"
1215,Gross capital formation (constant 2015 US$)
1216,Gross capital formation (constant LCU)
1219,Gross domestic income (constant LCU)
1222,Gross fixed capital formation (constant 2015 US$)
1223,Gross fixed capital formation (constant LCU)
1226,Gross national expenditure (constant 2015 US$)
1227,Gross national expenditure (constant LCU)
1231,Gross value added at basic prices (GVA) (constant 2015 US$)
1232,Gross value added at basic prices (GVA) (constant LCU)
1235,Households and NPISHs Final consumption expenditure (constant 2015 US$)
1236,Households and NPISHs Final consumption expenditure (constant LCU)
1239,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
1240,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
1243,Imports of goods and services (constant 2015 US$)
1244,Imports of goods and services (constant LCU)
1250,"Industry (including construction), value added (constant 2015 US$)"
1251,"Industry (including construction), value added (constant LCU)"
1254,"Industry (including construction), value added per worker (constant 2015 US$)"
1261,"Manufacturing, value added (constant 2015 US$)"
1262,"Manufacturing, value added (constant LCU)"
1292,"Net ODA provided, total (constant 2021 US$)"
1294,Net primary income (Net income from abroad) (constant LCU)
1354,"Services, value added (constant 2015 US$)"
1355,"Services, value added (constant LCU)"
1358,"Services, value added per worker (constant 2015 US$)"
1364,Taxes less subsidies on products (constant LCU)
1369,Terms of trade adjustment (constant LCU)
1376,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
1379,Adjusted net national income (constant 2015 US$)
1381,Adjusted net national income per capita (constant 2015 US$)
1419,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
1435,Discrepancy in expenditure estimate of GDP (constant LCU)
1438,Exports as a capacity to import (constant LCU)
1440,Exports of goods and services (constant 2015 US$)
1441,Exports of goods and services (constant LCU)
1445,External balance on goods and services (constant LCU)
1451,Final consumption expenditure (constant 2015 US$)
1452,Final consumption expenditure (constant LCU)
1462,GDP (constant 2015 US$)
1463,GDP (constant LCU)
1468,GDP per capita (constant 2015 US$)
1469,GDP per capita (constant LCU)
1472,"GDP per capita, PPP (constant 2021 international $)"
1474,GDP per person employed (constant 2021 PPP $)
1475,"GDP, PPP (constant 2021 international $)"
1478,General government final consumption expenditure (constant 2015 US$)
1479,General government final consumption expenditure (constant LCU)
1482,GNI (constant 2015 US$)
1483,GNI (constant LCU)
1486,GNI per capita (constant 2015 US$)
1487,GNI per capita (constant LCU)
1490,"GNI per capita, PPP (constant 2021 international $)"
1493,"GNI, PPP (constant 2021 international $)"
1500,Gross capital formation (constant 2015 US$)
1501,Gross capital formation (constant LCU)
1504,Gross domestic income (constant LCU)
1507,Gross fixed capital formation (constant 2015 US$)
1508,Gross fixed capital formation (constant LCU)
1511,Gross national expenditure (constant 2015 US$)
1512,Gross national expenditure (constant LCU)
1520,Households and NPISHs Final consumption expenditure (constant 2015 US$)
1521,Households and NPISHs Final consumption expenditure (constant LCU)
1524,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
1525,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
1530,Imports of goods and services (constant 2015 US$)
1531,Imports of goods and services (constant LCU)
1588,"Net ODA provided, total (constant 2021 US$)"
1591,Net primary income (Net income from abroad) (constant LCU)
1671,Terms of trade adjustment (constant LCU)
1679,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
1682,Adjusted net national income (constant 2015 US$)
1684,Adjusted net national income per capita (constant 2015 US$)
1697,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
1698,"Agriculture, forestry, and fishing, value added (constant LCU)"
1701,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
1716,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
1719,Changes in inventories (constant LCU)
1736,Exports as a capacity to import (constant LCU)
1737,Exports of goods and services (constant 2015 US$)
1738,Exports of goods and services (constant LCU)
1750,Final consumption expenditure (constant 2015 US$)
1751,Final consumption expenditure (constant LCU)
1760,GDP (constant 2015 US$)
1761,GDP (constant LCU)
1766,GDP per capita (constant 2015 US$)
1767,GDP per capita (constant LCU)
1770,"GDP per capita, PPP (constant 2021 international $)"
1772,GDP per person employed (constant 2021 PPP $)
1773,"GDP, PPP (constant 2021 international $)"
1776,General government final consumption expenditure (constant 2015 US$)
1777,General government final consumption expenditure (constant LCU)
1780,GNI (constant 2015 US$)
1781,GNI (constant LCU)
1784,GNI per capita (constant 2015 US$)
1785,GNI per capita (constant LCU)
1788,"GNI per capita, PPP (constant 2021 international $)"
1791,"GNI, PPP (constant 2021 international $)"
1797,Gross capital formation (constant 2015 US$)
1798,Gross capital formation (constant LCU)
1801,Gross domestic income (constant LCU)
1804,Gross fixed capital formation (constant 2015 US$)
1805,Gross fixed capital formation (constant LCU)
1809,Gross national expenditure (constant 2015 US$)
1810,Gross national expenditure (constant LCU)
1814,Gross value added at basic prices (GVA) (constant 2015 US$)
1815,Gross value added at basic prices (GVA) (constant LCU)
1818,Households and NPISHs Final consumption expenditure (constant 2015 US$)
1819,Households and NPISHs Final consumption expenditure (constant LCU)
1822,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
1823,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
1832,Imports of goods and services (constant 2015 US$)
1833,Imports of goods and services (constant LCU)
1839,"Industry (including construction), value added (constant 2015 US$)"
1840,"Industry (including construction), value added (constant LCU)"
1843,"Industry (including construction), value added per worker (constant 2015 US$)"
1850,"Manufacturing, value added (constant 2015 US$)"
1851,"Manufacturing, value added (constant LCU)"
1904,Net official development assistance and official aid received (constant 2021 US$)
1906,Net official development assistance received (constant 2021 US$)
1964,"Services, value added (constant 2015 US$)"
1965,"Services, value added (constant LCU)"
1968,"Services, value added per worker (constant 2015 US$)"
1979,Terms of trade adjustment (constant LCU)
2002,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
2003,"Agriculture, forestry, and fishing, value added (constant LCU)"
2006,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
2027,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
2061,GDP (constant 2015 US$)
2062,GDP (constant LCU)
2067,GDP per capita (constant 2015 US$)
2068,GDP per capita (constant LCU)
2071,"GDP per capita, PPP (constant 2021 international $)"
2073,GDP per person employed (constant 2021 PPP $)
2074,"GDP, PPP (constant 2021 international $)"
2092,Gross value added at basic prices (GVA) (constant 2015 US$)
2093,Gross value added at basic prices (GVA) (constant LCU)
2108,"Industry (including construction), value added (constant 2015 US$)"
2109,"Industry (including construction), value added (constant LCU)"
2112,"Industry (including construction), value added per worker (constant 2015 US$)"
2121,"Manufacturing, value added (constant 2015 US$)"
2122,"Manufacturing, value added (constant LCU)"
2187,Net official development assistance and official aid received (constant 2021 US$)
2189,Net official development assistance received (constant 2021 US$)
2266,"Services, value added (constant 2015 US$)"
2267,"Services, value added (constant LCU)"
2270,"Services, value added per worker (constant 2015 US$)"
2275,Taxes less subsidies on products (constant LCU)
2292,Adjusted net national income (constant 2015 US$)
2294,Adjusted net national income per capita (constant 2015 US$)
2310,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
2311,"Agriculture, forestry, and fishing, value added (constant LCU)"
2314,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
2336,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
2352,Exports as a capacity to import (constant LCU)
2354,Exports of goods and services (constant 2015 US$)
2355,Exports of goods and services (constant LCU)
2359,External balance on goods and services (constant LCU)
2365,Final consumption expenditure (constant 2015 US$)
2366,Final consumption expenditure (constant LCU)
2376,GDP (constant 2015 US$)
2377,GDP (constant LCU)
2382,GDP per capita (constant 2015 US$)
2383,GDP per capita (constant LCU)
2386,"GDP per capita, PPP (constant 2021 international $)"
2388,GDP per person employed (constant 2021 PPP $)
2389,"GDP, PPP (constant 2021 international $)"
2392,General government final consumption expenditure (constant 2015 US$)
2393,General government final consumption expenditure (constant LCU)
2396,GNI (constant 2015 US$)
2397,GNI (constant LCU)
2400,GNI per capita (constant 2015 US$)
2401,GNI per capita (constant LCU)
2404,"GNI per capita, PPP (constant 2021 international $)"
2407,"GNI, PPP (constant 2021 international $)"
2413,Gross capital formation (constant 2015 US$)
2414,Gross capital formation (constant LCU)
2417,Gross domestic income (constant LCU)
2420,Gross fixed capital formation (constant 2015 US$)
2421,Gross fixed capital formation (constant LCU)
2424,Gross national expenditure (constant 2015 US$)
2425,Gross national expenditure (constant LCU)
2431,Gross value added at basic prices (GVA) (constant 2015 US$)
2432,Gross value added at basic prices (GVA) (constant LCU)
2436,Households and NPISHs Final consumption expenditure (constant 2015 US$)
2437,Households and NPISHs Final consumption expenditure (constant LCU)
2440,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
2441,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
2445,Imports of goods and services (constant 2015 US$)
2446,Imports of goods and services (constant LCU)
2453,"Industry (including construction), value added (constant 2015 US$)"
2454,"Industry (including construction), value added (constant LCU)"
2457,"Industry (including construction), value added per worker (constant 2015 US$)"
2468,"Manufacturing, value added (constant 2015 US$)"
2469,"Manufacturing, value added (constant LCU)"
2505,"Net ODA provided, total (constant 2021 US$)"
2508,Net primary income (Net income from abroad) (constant LCU)
2582,"Services, value added (constant 2015 US$)"
2583,"Services, value added (constant LCU)"
2586,"Services, value added per worker (constant 2015 US$)"
2591,Taxes less subsidies on products (constant LCU)
2596,Terms of trade adjustment (constant LCU)
2604,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
2606,Adjusted net national income (constant 2015 US$)
2608,Adjusted net national income per capita (constant 2015 US$)
2621,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
2622,"Agriculture, forestry, and fishing, value added (constant LCU)"
2625,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
2648,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
2668,Exports as a capacity to import (constant LCU)
2670,Exports of goods and services (constant 2015 US$)
2671,Exports of goods and services (constant LCU)
2675,External balance on goods and services (constant LCU)
2681,Final consumption expenditure (constant 2015 US$)
2682,Final consumption expenditure (constant LCU)
2692,GDP (constant 2015 US$)
2693,GDP (constant LCU)
2698,GDP per capita (constant 2015 US$)
2699,GDP per capita (constant LCU)
2702,"GDP per capita, PPP (constant 2021 international $)"
2704,GDP per person employed (constant 2021 PPP $)
2705,"GDP, PPP (constant 2021 international $)"
2708,General government final consumption expenditure (constant 2015 US$)
2709,General government final consumption expenditure (constant LCU)
2712,GNI (constant 2015 US$)
2713,GNI (constant LCU)
2716,GNI per capita (constant 2015 US$)
2717,GNI per capita (constant LCU)
2720,"GNI per capita, PPP (constant 2021 international $)"
2723,"GNI, PPP (constant 2021 international $)"
2730,Gross capital formation (constant 2015 US$)
2731,Gross capital formation (constant LCU)
2734,Gross domestic income (constant LCU)
2737,Gross fixed capital formation (constant 2015 US$)
2738,Gross fixed capital formation (constant LCU)
2741,Gross national expenditure (constant 2015 US$)
2742,Gross national expenditure (constant LCU)
2748,Gross value added at basic prices (GVA) (constant 2015 US$)
2749,Gross value added at basic prices (GVA) (constant LCU)
2753,Households and NPISHs Final consumption expenditure (constant 2015 US$)
2754,Households and NPISHs Final consumption expenditure (constant LCU)
2757,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
2758,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
2763,Imports of goods and services (constant 2015 US$)
2764,Imports of goods and services (constant LCU)
2768,"Industry (including construction), value added (constant 2015 US$)"
2769,"Industry (including construction), value added (constant LCU)"
2772,"Industry (including construction), value added per worker (constant 2015 US$)"
2783,"Manufacturing, value added (constant 2015 US$)"
2784,"Manufacturing, value added (constant LCU)"
2819,"Net ODA provided, total (constant 2021 US$)"
2822,Net primary income (Net income from abroad) (constant LCU)
2898,"Services, value added (constant 2015 US$)"
2899,"Services, value added (constant LCU)"
2902,"Services, value added per worker (constant 2015 US$)"
2908,Taxes less subsidies on products (constant LCU)
2913,Terms of trade adjustment (constant LCU)
2921,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
2923,Adjusted net national income (constant 2015 US$)
2925,Adjusted net national income per capita (constant 2015 US$)
2941,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
2942,"Agriculture, forestry, and fishing, value added (constant LCU)"
2945,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
2969,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
2989,Exports as a capacity to import (constant LCU)
2991,Exports of goods and services (constant 2015 US$)
2992,Exports of goods and services (constant LCU)
2996,External balance on goods and services (constant LCU)
3002,Final consumption expenditure (constant 2015 US$)
3003,Final consumption expenditure (constant LCU)
3013,GDP (constant 2015 US$)
3014,GDP (constant LCU)
3019,GDP per capita (constant 2015 US$)
3020,GDP per capita (constant LCU)
3023,"GDP per capita, PPP (constant 2021 international $)"
3025,GDP per person employed (constant 2021 PPP $)
3026,"GDP, PPP (constant 2021 international $)"
3029,General government final consumption expenditure (constant 2015 US$)
3030,General government final consumption expenditure (constant LCU)
3033,GNI (constant 2015 US$)
3034,GNI (constant LCU)
3037,GNI per capita (constant 2015 US$)
3038,GNI per capita (constant LCU)
3041,"GNI per capita, PPP (constant 2021 international $)"
3044,"GNI, PPP (constant 2021 international $)"
3051,Gross capital formation (constant 2015 US$)
3052,Gross capital formation (constant LCU)
3055,Gross domestic income (constant LCU)
3058,Gross fixed capital formation (constant 2015 US$)
3059,Gross fixed capital formation (constant LCU)
3062,Gross national expenditure (constant 2015 US$)
3063,Gross national expenditure (constant LCU)
3069,Gross value added at basic prices (GVA) (constant 2015 US$)
3070,Gross value added at basic prices (GVA) (constant LCU)
3074,Households and NPISHs Final consumption expenditure (constant 2015 US$)
3075,Households and NPISHs Final consumption expenditure (constant LCU)
3078,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
3079,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
3084,Imports of goods and services (constant 2015 US$)
3085,Imports of goods and services (constant LCU)
3092,"Industry (including construction), value added (constant 2015 US$)"
3093,"Industry (including construction), value added (constant LCU)"
3096,"Industry (including construction), value added per worker (constant 2015 US$)"
3107,"Manufacturing, value added (constant 2015 US$)"
3108,"Manufacturing, value added (constant LCU)"
3143,"Net ODA provided, total (constant 2021 US$)"
3146,Net primary income (Net income from abroad) (constant LCU)
