,0
0,0.0
1,0.024726040834141025
2,0.06471673440344426
3,0.07365820149158772
4,0.07233559588079432
5,0.07161084792962158
6,0.08463131883304492
7,0.09845404581672404
8,0.09583861201565799
9,0.1119720184209117
10,0.16485094944908474
11,0.22680269744556428
12,0.2724384464717065
13,0.3223513979712135
14,0.4043063148315201
15,0.47615314157375566
16,0.43454177533638555
17,0.5067894307794638
18,0.5999304148837986
19,0.6201891486104106
20,0.6472120607815823
21,0.6739769023369583
22,0.617279647612012
23,0.6326147913580231
24,0.6950670392340857
25,0.7595551944152151
26,0.7753258210965863
27,0.7455696255876338
28,0.8962343311402498
29,0.9451367048109702
30,1.0
