Unnamed: 0,Prosperity
1993,0.01361228542896659
1994,0.033291674587613784
1995,0.08013109629767987
1996,0.08805590900726805
1997,0.10382458221724963
1998,0.11653380684247756
1999,0.13823278670666422
2000,0.16275372692004614
2001,0.19244730917167824
2002,0.21648921641743854
2003,0.2571102615494386
2004,0.30642858005114443
2005,0.3506225367524832
2006,0.3907326098409545
2007,0.4583324213662291
2008,0.5228966013608811
2009,0.525357529266475
2010,0.5753152499209728
2011,0.6268162410166542
2012,0.6441215336062023
2013,0.665745280171406
2014,0.6901259710373049
2015,0.671106647587704
2016,0.6990724447312482
2017,0.7434654368726825
2018,0.7865703026575351
2019,0.8068006658893105
2020,0.7851908170364181
2021,0.8593510668345367
2022,0.9219628385089
2023,0.9521134509136545
