Series Name,id
DEC alternative conversion factor (LCU per US$),5
Export volume index (2015 = 100),5
Forest area (sq. km),5
"Foreign direct investment, net inflows (BoP, current US$)",5
"Net bilateral aid flows from DAC donors, Total (current US$)",5
"Secondary education, pupils",5
"Secondary income, other sectors, payments (BoP, current US$)",5
"Secondary income receipts (BoP, current US$)",5
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),5
"Patent applications, nonresidents",5
"Population ages 0-14, male",5
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),5
General government final consumption expenditure (current LCU),5
Goods and services expense (current LCU),5
"Goods imports (BoP, current US$)",5
"Grants, excluding technical cooperation (BoP, current US$)",5
Import volume index (2015 = 100),5
Gross national expenditure (current US$),5
"Services, value added (current US$)",5
"Services, value added (current LCU)",5
Gross national expenditure (current LCU),5
"Mortality rate, infant (per 1,000 live births)",5
Methane (CH4) emissions from Building (Energy) (Mt CO2e),5
"Net bilateral aid flows from DAC donors, Canada (current US$)",5
"GNI, PPP (current international $)",5
Imports of goods and services (current US$),5
Adjusted savings: consumption of fixed capital (current US$),5
"Adjusted net savings, excluding particulate emission damage (current US$)",5
Number of neonatal deaths,5
Other expense (current LCU),5
Net foreign assets (current LCU),5
Net domestic credit (current LCU),5
"Intentional homicides, female (per 100,000 female)",5
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",5
"Industrial design applications, resident, by count",4
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),4
"Listed domestic companies, total",4
Methane (CH4) emissions from Industrial Processes (Mt CO2e),4
"Industry (including construction), value added (current LCU)",4
GNI per capita (current LCU),4
GDP per capita (current LCU),4
Interest payments (current LCU),4
Land area (sq. km),4
"Intentional homicides (per 100,000 people)",4
Gross savings (current US$),4
Taxes less subsidies on products (current US$),4
"Stocks traded, total value (current US$)",4
Subsidies and other transfers (current LCU),4
Adults (ages 15-49) newly infected with HIV,4
Adjusted savings: mineral depletion (current US$),4
"ICT service exports (BoP, current US$)",4
"Imports of goods and services (BoP, current US$)",4
"Current account balance (BoP, current US$)",4
Cereal yield (kg per hectare),4
"Charges for the use of intellectual property, receipts (BoP, current US$)",4
Population density (people per sq. km of land area),4
Final consumption expenditure (current LCU),4
Exports of goods and services (current US$),4
"Incidence of HIV, all (per 1,000 uninfected population)",4
Gross value added at basic prices (GVA) (current LCU),4
