id,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00240100000023,1.6312492299344967,4.47123882654769,2.9773948277040034,2.601358733466853,3.9315519221473636,1.9588408078915052,2.8479950280780884,3.4207946560102584,1.9763619155368275,3.557036874970393,1.4916665231441613,5.282470936345689,3.403154742016085,5.119795253229569,4.980895636349359,-0.27526557049576184,-0.717452117576741,5.078549032305318,2.562668540699889,3.1643874718443783,2.397395975008692,3.353680186022629,3.3562241090848914,2.6882859198336746,3.6969878882264595,2.5140360580678163,2.276193522666148,-4.082871503929695,5.39761234782155,,
00250105000024,31950764471373.215,33379359457796.062,34373194779813.21,35267364884189.45,36653919646184.52,37371911581905.75,38436261765656.164,39751087354105.84,40536712705584.17,41978618524422.61,42604799523829.81,44855385676164.47,46381883860852.47,48756541349118.84,51185053789611.98,51044158959289.44,50677941559936.77,53251645670621.195,54616308841627.18,56344580476195.46,57695383180667.305,59630301814647.17,61631628380470.445,63288462768386.85,65628229571578.82,67278146927279.836,68809527749808.39,66000123149322.87,69562553946008.14,,
00260105000025,21179882955521.035,22955734952912.26,25573274849752.31,26260258093970.88,26252105118220.652,26354034836874.43,27258116758577.305,28052166386128.145,27922357816076.65,28956739979765.45,32408954619823.266,36549981826599.97,39445751259769.79,42901257046696.8,48099220942837.77,51947143139196.46,49471564291060.27,54322643988210.43,59799125834459.055,61447627476825.7,63072777643219.6,65071071538938.66,61631628380470.48,62596688007477.555,66692896504048.836,70284831261590.664,71213354902445.14,68580436251713.664,76892463673445.11,,
00270100000026,0.030385539573813958,2.879918849168604,1.4398290120681594,1.0840143440002095,2.4213928412726347,0.503232322603651,1.4205321775633308,2.019661933890376,0.617378637016941,2.2081971968434573,0.19108204532788875,3.937176160295877,2.0976927027640073,3.7926916944271767,3.6663279050132473,-1.530307995004648,-1.9520000461177602,3.809588950792758,1.3247374726780237,1.8760256526466463,1.1360023834188269,2.10853070660319,2.1400731256364907,1.500910849114348,2.531330489073497,1.4167522534281431,1.2188667337581478,-5.0504108074326695,4.53212985814848,,
00280105000027,5741.605669009204,5906.959252915933,5992.009365970461,6056.963606991416,6203.626490169594,6234.84514384173,6323.413125331245,6451.124693146188,6490.952558848997,6634.285591301939,6646.962519902693,6908.665143620104,7053.5877081962235,7321.108543364118,7589.524388845785,7473.381290340451,7327.500884106449,7606.64854815661,7707.41667188896,7852.009785809962,7941.208804123042,8108.651630233452,8282.182704623563,8406.49088338073,8619.286950172931,8741.400892268945,8847.946919809248,8401.089252335296,8781.837526750087,,
00290105000028,3806.0602949055024,4062.3485048908105,4457.988365639063,4510.045706780029,4443.133403089214,4396.706488058733,4484.419799560515,4552.530139810246,4471.075423202552,4576.312646093135,5056.263826489846,5629.459687815383,5998.76596347814,6441.899913216636,7131.968873777687,7605.587309857254,7153.07133483591,7759.633638006384,8438.812310758203,8563.154933182659,8681.35489372509,8848.498737359183,8282.182704623567,8314.603705741116,8759.115037220605,9132.057209707717,9157.045612191792,8729.534710279531,9707.192802838112,,
00300100000029,6.494331535342141,7.888070264798449,8.522327176878118,10.814257459020101,11.213854537263114,10.831956904969468,10.201082198867969,10.07946576345171,9.251845677173122,8.807604611887458,8.848402431906612,9.665764312350456,9.817838783903047,10.876004301737376,11.01624220123914,9.600944929038434,7.775733112391841,9.526932238987305,9.739090464607449,10.182149415908212,10.289578838375249,10.689123014048016,10.719507887060505,10.3028835634233,11.055285631781615,10.821413847695812,10.531349508207613,9.531977132019673,9.832528376602873,,
00310105000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00320100000031,6.190901324662404,7.595495633834053,8.242504979516008,10.53924167332332,10.942203477937172,10.572083758490093,9.951244909120836,9.832890788934112,9.010999699960525,8.573006291962455,8.62390243079105,9.451974565200658,9.604874628082046,10.66608309012718,10.803956179604764,9.362171581222231,7.530229872590859,9.277995314849843,9.491524173259338,9.93236636071878,10.038255800569253,10.440064483426434,10.465456802698988,10.055235321257655,10.812071277422769,10.580861637587704,10.289560375013549,9.279122860466195,9.59021403183639,,
00330105000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
